year,month,date_of_month,day_of_week,births
2008,1,23,3,11970
2008,1,24,4,12235
2008,1,25,5,11867
2008,1,26,6,8400
2008,1,27,7,7387
2008,1,28,1,11139
2008,1,29,2,11963
2008,1,30,3,11902
2008,1,31,4,11921
2008,2,1,5,11943
2008,2,2,6,8799
2008,2,3,7,7322
2008,2,4,1,11176
2008,2,5,2,12242
2008,2,6,3,11934
2008,2,7,4,12157
2008,2,8,5,12223
2008,2,9,6,8589
2008,2,10,7,7461
2008,2,11,1,11348
2008,2,12,2,12467
2008,2,13,3,11814
2008,2,14,4,12785
2008,2,15,5,12334
2008,2,16,6,8563
2008,2,17,7,7310
2008,2,18,1,10729
2008,2,19,2,12053
2008,2,20,3,12516
2008,2,21,4,12166
2008,2,22,5,12459
2008,2,23,6,8515
2008,2,24,7,7372
2008,2,25,1,11322
2008,2,26,2,12227
2008,2,27,3,12055
2008,2,28,4,12096
2008,2,29,5,12096
2008,3,1,6,12214
